base64_url,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off,network_id
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,N2642,FLIXBUS-us,FlixBus N2642,NYC - Cincinnati - Chicago,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2721,FLIXBUS-us,FlixBus 2721,Calgary - Banff,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2602,FLIXBUS-us,FlixBus 2602,NYC - Philadelphia,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2040,FLIXBUS-us,FlixBus 2040,Las Vegas - Phoenix - Tucson,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US1159,GREYHOUND-us,Greyhound US1159,Dallas - San Antonio,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2701,FLIXBUS-us,FlixBus 2701,Detroit - Toronto - Ottawa,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0135,GREYHOUND-us,Greyhound US0135,Dallas - Nashville - Detroit,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0811d,GREYHOUND-us,Greyhound US0811d,Sacramento - San Francisco - Los Angeles: Bus Moves,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0700,GREYHOUND-us,Greyhound US0700,New York - Richmond - Raleigh,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2452,FLIXBUS-us,FlixBus 2452,Atlanta - Tallahassee,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0305,GREYHOUND-us,Greyhound US0305,New York - Philadelphia - Washington,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0350,GREYHOUND-us,Greyhound US0350,Philadelphia - Washington,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0636s,GREYHOUND-us,Greyhound US0636s,Atlanta - Tallahassee (Subsidy),,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0800,GREYHOUND-us,Greyhound US0800,San Francisco - Coalinga - Los Angeles,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2605,FLIXBUS-us,FlixBus 2605,NYC - Richmond,,3,,73D700,FFFFFF,,,,
